ID,name,ItemFolder,NoHItemFolder,itemPic,itemBack,itemType,DisplayType,ShowInBackpack,Rarity,Race,MaxLimit,ActionFunc,ItemUpperCap,ItemDesc,ItemEffect,,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Satiating,飽腹,5_CookingRace,,Item_Ingre_SR_20,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:MaxHP_Add:ByExplore:2000:1;GetItem:Item_Attr_FoodEnergy:2000,,#N/A,★ 強化效果：食物能量上限 +2000,44,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Essence,精華,5_CookingRace,,Item_Ingre_SR_21,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:STR_Increase:ByExplore:3:1;AddBuff:DEX_Increase:ByExplore:3:1;AddBuff:INT_Increase:ByExplore:3:1,,#N/A,★ 強化效果：敏捷提升 3% / 力量提升 3% / 智力提升 3%,45,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Garbage,垃圾,5_CookingRace,,Item_Ingre_SR_22,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:MaxHP_Add:ByExplore:100:1;GetItem:Item_Attr_FoodEnergy:100,,#N/A,★ 強化效果：食物能量上限 +100,46,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Unknown,未知,5_CookingRace,,Item_Ingre_SR_23,item_bg_01,Attribute,None,,1,CookingRace,-1,,,#N/A,#N/A,47,,,,,,,,,,,,,
Ingre_Veggies_1,宇宙薯,2_Ingredients,,Ingre_Veggies_1,item_bg_01,Ingredient,Show,Ingredient,1,Ingredient,-1,,,宇宙常見的食材。\n對生長環境要求極低，食用後有充足的飽腹感。,#N/A,48,,,,,,,,,,,,,
Ingre_Veggies_2,草原紅菜,2_Ingredients,,Ingre_Veggies_2,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,圓滾滾造型的根筋類蔬菜。\n切開後會流出像血一樣的鮮紅汁液。,#N/A,49,,,,,,,,,,,,,
Ingre_Veggies_3,草原小麥,2_Ingredients,,Ingre_Veggies_3,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,只需灑下就會大片生長的耐旱穀物。\n不加工食用的話口感不佳。,#N/A,50,,,,,,,,,,,,,
Ingre_Veggies_4,草原羅勒,2_Ingredients,,Ingre_Veggies_4,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,青色的野菜，散發著濃郁的氣味。,#N/A,51,,,,,,,,,,,,,
Ingre_Veggies_5,牧場番茄,2_Ingredients,,Ingre_Veggies_5,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,艷紅的果子，蘊含強烈的酸味！\n汁水在部分星球被作為染色原料使用。,#N/A,52,,,,,,,,,,,,,
Ingre_Veggies_6,菇菇辣椒,2_Ingredients,,Ingre_Veggies_6,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,色彩鮮艷、狀似辣椒的蘑菇，帶有強勁的辣味！\n過去曾有段時間被視作毒菇。,#N/A,53,,,,,,,,,,,,,
Ingre_Veggies_7,雨林薑黃,2_Ingredients,,Ingre_Veggies_7,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,氣味辛辣且帶著苦味，必須加工製成香料使用。,#N/A,54,,,,,,,,,,,,,
Ingre_Veggies_8,海洋葡萄,2_Ingredients,,Ingre_Veggies_8,item_bg_03,Ingredient,Show,Ingredient,3,Ingredient,-1,,,生長在海裡的漿果，輕輕咬下就會在口腔中爆開。\n味美且多汁！,#N/A,55,,,,,,,,,,,,,
Ingre_Veggies_9,雨林莓果,2_Ingredients,,Ingre_Veggies_9,item_bg_03,Ingredient,Show,Ingredient,3,Ingredient,-1,,,外表被硬殼包裹的果實，果肉酸中帶甜。,#N/A,56,,,,,,,,,,,,,
Ingre_Meat_21,渡渡鳥蛋,2_Ingredients,,Ingre_Meat_21,item_bg_01,Ingredient,Show,Ingredient,1,Ingredient,-1,,,碩大的鳥蛋，重要的基底食材，能延伸出多種蛋料理。,#N/A,57,,,,,,,,,,,,,
Ingre_Meat_22,牧場哞肉,2_Ingredients,,Ingre_Meat_22,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,常見肉品，根據使用部位可使料理充滿變化性。,#N/A,58,,,,,,,,,,,,,
Ingre_Meat_23,菇菇豬,2_Ingredients,,Ingre_Meat_23,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,取自以菇類為主食的豬型魔物，肉中帶有菌類的鮮美。,#N/A,59,,,,,,,,,,,,,
Ingre_Meat_24,海洋魚,2_Ingredients,,Ingre_Meat_24,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,刺少肉肥，因為生活在深海，長得相當隨便。,#N/A,60,,,,,,,,,,,,,
Ingre_Insects_31,宇宙蝗蟲,2_Ingredients,,Ingre_Insects_31,item_bg_01,Ingredient,Show,Ingredient,1,Ingredient,-1,,,宇宙常見的食材。嘎崩脆、雞肉味。,#N/A,61,,,,,,,,,,,,,
Ingre_Insects_32,菇菇蟹,2_Ingredients,,Ingre_Insects_32,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,陸生蟹，進入海裡反而會溺死。\n肉質鮮甜，根據生活區域殼上背的有時也會是菇類以外的東西。,#N/A,62,,,,,,,,,,,,,
Ingre_Insects_33,雨林蜜蜂,2_Ingredients,,Ingre_Insects_33,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,兇猛的雜食昆蟲，腹囊中儲存著釀造好的蜂蜜。\n富有蛋白質。,#N/A,63,,,,,,,,,,,,,
Ingre_Insects_34,海洋皮皮蝦,2_Ingredients,,Ingre_Insects_34,item_bg_03,Ingredient,Show,Ingredient,3,Ingredient,-1,,,攻擊性極強，肉質Q彈帶著清香。\n部分星球會將單獨捕獵皮皮蝦視作成年的證明。,#N/A,64,,,,,,,,,,,,,
Ingre_Insects_35,複合金帝王蟹,2_Ingredients,,Ingre_Insects_35,item_bg_04,Ingredient,Show,Ingredient,4,Ingredient,-1,,,渴望鬥爭，在無數的戰鬥中外殼進化為金屬。\n有著與戰鬥力成正比的美味肉質，捕獲難度極高的高級食材。,#N/A,65,,,,,,,,,,,,,
Ingre_Mollusk_41,宇宙水母,2_Ingredients,,Ingre_Mollusk_41,item_bg_01,Ingredient,Show,Ingredient,1,Ingredient,-1,,,在宇宙間漫無目的漂流，除極端惡劣環境都能看到牠的蹤跡。\n充滿膠質，但無法飽腹。,#N/A,66,,,,,,,,,,,,,
Ingre_Mollusk_42,荒蕪蝸牛,2_Ingredients,,Ingre_Mollusk_42,item_bg_01,Ingredient,Show,Ingredient,1,Ingredient,-1,,,在惡劣環境也能生存。\n口感及味道會根據主食有可忽略不計的區別。,#N/A,67,,,,,,,,,,,,,
Ingre_Mollusk_43,宇宙魷魚,2_Ingredients,,Ingre_Mollusk_43,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,擁有飛行能力的魷魚，離水越久則肉質越乾燥。\n口感軟中又帶點爽脆。,#N/A,68,,,,,,,,,,,,,
Ingre_Mollusk_44,菇菇章魚,2_Ingredients,,Ingre_Mollusk_44,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,能利用觸手在山林間靈活遊走，也能充氣短暫滯空。\n肉中帶著辛辣感，觸腕尤其美味。,#N/A,69,,,,,,,,,,,,,
Ingre_Mollusk_45,海洋牡蠣,2_Ingredients,,Ingre_Mollusk_45,item_bg_03,Ingredient,Show,Ingredient,3,Ingredient,-1,,,遇到危險時會噴射水柱攻擊或逃跑，有著與外表不符的高機動性。\n被堅殼保護的肉雪白且肥美。,#N/A,70,,,,,,,,,,,,,
Ingre_Mollusk_46,複合金鮑魚,2_Ingredients,,Ingre_Mollusk_46,item_bg_04,Ingredient,Show,Ingredient,4,Ingredient,-1,,,非自然產物的合成生命體，由複合金屬構成的外殼能吸收能量。\n不知是不是基因調整原因，肉質細嫩且鮮甜。,#N/A,71,,,,,,,,,,,,,
Ingre_Fungus_51,星幻菇,2_Ingredients,,Ingre_Fungus_51,item_bg_01,Ingredient,Show,Ingredient,1,Ingredient,-1,,,宇宙中常見的藍菇，傘蓋上有著星形而得名。\n處理不當食材中的苦味會瞬間倍增。,#N/A,72,,,,,,,,,,,,,
Ingre_Fungus_52,牧場起司,2_Ingredients,,Ingre_Fungus_52,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,未經人手加工自然成形的天然食材。\n味道濃厚，切開後會發現裡面有著大量菌絲。,#N/A,73,,,,,,,,,,,,,
Ingre_Fungus_53,菇菇松露,2_Ingredients,,Ingre_Fungus_53,item_bg_03,Ingredient,Show,Ingredient,3,Ingredient,-1,,,藏於地下的珍稀食材，氣味尤其濃烈！\n有人趨之若鶩，有人避之唯恐不及的高級食材。,#N/A,74,,,,,,,,,,,,,
Ingre_Fungus_54,宇宙松茸,2_Ingredients,,Ingre_Fungus_54,item_bg_03,Ingredient,Show,Ingredient,3,Ingredient,-1,,,被稱為菇中之王的高級食材，山珍鮮味的濃縮體現。\n王不見王，發現的百米內不會出現第二朵宇宙松茸。,#N/A,75,,,,,,,,,,,,,
Ingre_Fungus_55,嗜輻射菇,2_Ingredients,,Ingre_Fungus_55,item_bg_04,Ingredient,Show,Ingredient,4,Ingredient,-1,,,吸收輻射生長的菇類，在漆黑環境中會散發螢光。\n具高危險性，以放射物為食的生命體將之視為極上美食，,#N/A,76,,,,,,,,,,,,,
Ingre_Other_61,宇宙椰奶,2_Ingredients,,Ingre_Other_61,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,乳白色的黏稠樹液，散發著椰汁的香味。\n與唾液接觸會變為結晶狀，直接食用非常危險。,#N/A,77,,,,,,,,,,,,,
Ingre_Other_62,雨林蜂蜜,2_Ingredients,,Ingre_Other_62,item_bg_02,Ingredient,Show,Ingredient,2,Ingredient,-1,,,濃稠到晶化的金黃蜂蜜。\n極致的甜，直接食用幾乎能讓牙齒甜到掉下來。,#N/A,78,,,,,,,,,,,,,
Ingre_Other_63,土元素,2_Ingredients,,Ingre_Other_63,item_bg_04,Ingredient,Show,Ingredient,4,Ingredient,-1,,,經由特殊方式保存的元素結晶。\n無法正常食用，蘊含著大地的厚重。,#N/A,79,,,,,,,,,,,,,
Ingre_Other_64,水元素,2_Ingredients,,Ingre_Other_64,item_bg_04,Ingredient,Show,Ingredient,4,Ingredient,-1,,,經由特殊方式保存的元素結晶。\n無法正常食用，蘊含著水的生命力。,#N/A,80,,,,,,,,,,,,,
Ingre_Other_65,火元素,2_Ingredients,,Ingre_Other_65,item_bg_04,Ingredient,Show,Ingredient,4,Ingredient,-1,,,經由特殊方式保存的元素結晶。\n無法正常食用，蘊含著火的活力。,#N/A,81,,,,,,,,,,,,,
Ingre_Other_66,風元素,2_Ingredients,,Ingre_Other_66,item_bg_04,Ingredient,Show,Ingredient,4,Ingredient,-1,,,經由特殊方式保存的元素結晶。\n無法正常食用，蘊含著風的變化性。,#N/A,82,,,,,,,,,,,,,
Ingre_Mollusk_91,黃金巨大蝸牛,2_Ingredients,,Ingre_Mollusk_91,item_bg_05,Ingredient,Show,Ingredient,5,Ingredient,-1,,,活過漫長歲月，完成生命進化的荒蕪蝸牛。\n不僅是殼，連肉都泛著淡淡的金黃色。\n蘊含著強大生命能量的稀罕食材。,#N/A,83,,,,,,,,,,,,,
Ingre_Meat_92,閃光渡渡鳥肉,2_Ingredients,,Ingre_Meat_92,item_bg_05,Ingredient,Show,Ingredient,5,Ingredient,-1,,,取自異色的閃光渡渡鳥，肉質軟嫩。\n蘊含著強大生命能量的稀罕食材。,#N/A,84,,,,,,,,,,,,,
Ingre_Meat_93,黃金哞,2_Ingredients,,Ingre_Meat_93,item_bg_05,Ingredient,Show,Ingredient,5,Ingredient,-1,,,無論哪個部位都有著最高評級的黃金哞肉。\n過度料理反而會破壞食材本身的風味。\n蘊含著強大生命能量的稀罕食材。,#N/A,85,,,,,,,,,,,,,
Ingre_Fungus_94,冬蟲夏草獨角蛇,2_Ingredients,,Ingre_Fungus_94,item_bg_05,Ingredient,Show,Ingredient,5,Ingredient,-1,,,是肉也是菌類。\n蛇肉上散發著菇類特有的清香。\n蘊含著強大生命能量的稀罕食材。,#N/A,86,,,,,,,,,,,,,
Ingre_Veggies_95,水果之王,2_Ingredients,,Ingre_Veggies_95,item_bg_05,Ingredient,Show,Ingredient,5,Ingredient,-1,,,不同尋常的外觀與體型，濃郁的香氣。\n在它之前其他水果都只是陪襯，無愧王之名的水果。\n蘊含著強大生命能量的稀罕食材。,#N/A,87,,,,,,,,,,,,,
Ingre_Insects_96,深藍之星大王具足蟲,2_Ingredients,,Ingre_Insects_96,item_bg_05,Ingredient,Show,Ingredient,5,Ingredient,-1,,,居住在深海，有著深藍之星之名的海中動物。\n能夠食用但稱不上好吃，因為在社群爆紅才被列入捕獵對象？！\n蘊含著強大生命能量的稀罕食材。,#N/A,88,,,,,,,,,,,,,
Ingre_Other_97,肉質生層球體,2_Ingredients,,Ingre_Other_97,item_bg_05,Ingredient,Show,Ingredient,5,Ingredient,-1,,,能夠複製接觸的肉類並進行增生的謎之金屬球體。\n由球體增生的肉比一般肉類更具營養。\n蘊含著強大生命能量的稀罕食材。,#N/A,89,,,,,,,,,,,,,
Ingre_Other_98,七色乙太,2_Ingredients,,Ingre_Other_98,item_bg_05,Ingredient,Show,Ingredient,5,Ingredient,-1,,,隨時在七種顏色中切換的危險放射物質。\n稍微處理不慎就會釀成巨大災難。\n蘊含著強大生命能量的稀罕食材。,#N/A,90,,,,,,,,,,,,,
Ingre_Other_99,營養膏材料,2_Ingredients,,Ingre_Other_99,item_bg_01,Ingredient,Show,Ingredient,1,Ingredient,-1,,,利用環保技術合成的特殊原料。\n能生成高熱量且營養的膏狀食物，成本近乎於零，缺點是非常難吃。,#N/A,91,,,,,,,,,,,,,
Recipe_Other_1,營養膏食譜,3_dishes,,Recipe_Other_1,item_bg_01,Important,InGet,,1,Recipe,1,,,記載製作營養膏的文件,可解鎖新的料理配方,92,,,,,,,,,,,,,
